gender,entity_level,stat,stat_id,minimum_criteria,player_name,team,position,matches_played,value,rank
Women,team,Most Offloads,7,Minimum 1 Offload in a match,,Chennai Bulls,,1,9,2
Women,team,Most Offloads,7,Minimum 1 Offload in a match,,Kolkata Banga Tigers,,1,4,3
Women,team,Most Offloads,7,Minimum 1 Offload in a match,,Mumbai Dreamers,,1,4,4
Women,team,Most Points,4,Minimum 1 Point in a match,,Kolkata Banga Tigers,,1,31,1
Women,team,Most Points,4,Minimum 1 Point in a match,,Chennai Bulls,,1,24,2
Women,team,Most Points,4,Minimum 1 Point in a match,,Delhi Redz,,1,24,3
Women,team,Most Points,4,Minimum 1 Point in a match,,Mumbai Dreamers,,1,19,4
Women,team,Most Tackles,3,Minimum 1 Tackle in a match,,Chennai Bulls,,1,27,1
Women,team,Most Tackles,3,Minimum 1 Tackle in a match,,Delhi Redz,,1,15,2
Women,team,Most Tackles,3,Minimum 1 Tackle in a match,,Mumbai Dreamers,,1,15,3
Women,team,Most Tackles,3,Minimum 1 Tackle in a match,,Kolkata Banga Tigers,,1,12,4
Women,team,Most Tries,1,Minimum 1 try in a match,,Kolkata Banga Tigers,,1,5,1
Women,team,Most Tries,1,Minimum 1 try in a match,,Chennai Bulls,,1,4,2
Women,team,Most Tries,1,Minimum 1 try in a match,,Delhi Redz,,1,4,3
Women,team,Most Tries,1,Minimum 1 try in a match,,Mumbai Dreamers,,1,3,4
